Data Casos,CasosDia,Total Casos,Total Recuperados,Acumulado Testes Realizados,Ocupacao Leitos UTI,Mortes do Dia,Total Mortes,Media Movel Casos 7 dias,Taxa Transmissao,Variacao Casos 7 dias,Tendencia Casos,Media Movel Mortes 7 dias,Variacao Mortes 7 dias,Tendencia Mortes,Letalidade do Dia,Letalidade Acumulada
15/03/2020,1,1,81338,0,0.00,0,0,0,,,,0,,,0.00,0.00
18/03/2020,0,1,81338,0,0.00,0,0,0,,,,0,,,0,0.00
19/03/2020,2,3,81338,0,0.00,0,0,0,,,,0,,,0.00,0.00
20/03/2020,0,3,81338,0,0.00,0,0,0,,,,0,,,0,0.00
21/03/2020,8,11,81338,0,0.00,0,0,0,,,,0,,,0.00,0.00
22/03/2020,15,26,81338,0,0.00,0,0,0,,,,0,,,0.00,0.00
23/03/2020,6,32,81338,0,0.00,0,0,0,,,,0,,,0.00,0.00
24/03/2020,15,47,81338,0,0.00,0,0,7,,,,0,,,0.00,0.00
25/03/2020,7,54,81338,0,0.00,1,1,8,,,,0,,,14.29,1.85
26/03/2020,13,67,81338,0,0.00,0,1,9,,,,0,,,0.00,1.49
27/03/2020,14,81,81338,0,0.00,0,1,11,,,,0,,,0.00,1.23
28/03/2020,30,111,81338,0,0.00,0,1,14,,,,0,,,0.00,0.90
29/03/2020,29,140,81338,0,0.00,0,1,16,,,,0,,,0.00,0.71
30/03/2020,11,151,81338,0,0.00,0,1,17,,,,0,,,0.00,0.66
31/03/2020,24,175,81338,0,0.00,2,3,18,2.57,,,0,,,8.33,1.71
01/04/2020,25,200,81338,0,0.00,0,3,21,2.63,,,0,,,0.00,1.50
02/04/2020,29,229,81338,0,0.00,0,3,23,2.56,,,0,,,0.00,1.31
03/04/2020,31,260,81338,0,0.00,4,7,26,2.36,,,1,,,12.90,2.69
04/04/2020,51,311,81338,0,0.00,5,12,29,2.07,,,2,,,9.80,3.86
05/04/2020,106,417,81338,0,0.00,2,14,40,2.50,,,2,,,1.89,3.36
06/04/2020,115,532,81338,0,0.00,5,19,54,3.18,,,3,,,4.35,3.57
07/04/2020,104,636,81338,0,0.00,4,23,66,3.67,842.86,Alta,3,,,3.85,3.62
08/04/2020,168,804,81338,0,0.00,7,30,86,4.10,975.00,Alta,4,,,4.17,3.73
09/04/2020,95,899,81338,0,0.00,10,40,96,4.17,966.67,Alta,5,,,10.53,4.45
10/04/2020,82,981,81338,0,0.00,10,50,103,3.96,836.36,Alta,6,,,12.20,5.10
11/04/2020,69,1050,81338,0,0.00,3,53,106,3.66,657.14,Alta,6,,,4.35,5.05
12/04/2020,156,1206,81338,0,0.00,9,62,113,2.83,606.25,Alta,7,,,5.77,5.14
13/04/2020,69,1275,81338,0,0.00,9,71,106,1.96,523.53,Alta,7,,,13.04,5.57
14/04/2020,209,1484,81338,0,0.00,19,90,121,1.83,572.22,Alta,10,,,9.09,6.06
15/04/2020,70,1554,81338,0,0.00,16,106,107,1.24,409.52,Alta,11,,,22.86,6.82
16/04/2020,165,1719,81338,0,0.00,18,124,117,1.22,408.70,Alta,12,,,10.91,7.21
17/04/2020,90,1809,81338,0,0.00,21,145,118,1.15,353.85,Alta,14,"1,300.00",Alta,23.33,8.02
