Data,Estado,Casos
13/03/20,AMAZONAS,1
14/03/20,AMAZONAS,0
15/03/20,AMAZONAS,0
16/03/20,AMAZONAS,0
17/03/20,AMAZONAS,0
18/03/20,AMAZONAS,1
19/03/20,AMAZONAS,1
20/03/20,AMAZONAS,4
21/03/20,AMAZONAS,4
22/03/20,AMAZONAS,15
23/03/20,AMAZONAS,6
24/03/20,AMAZONAS,15
25/03/20,AMAZONAS,7
26/03/20,AMAZONAS,13
27/03/20,AMAZONAS,14
28/03/20,AMAZONAS,30
29/03/20,AMAZONAS,29
30/03/20,AMAZONAS,11
31/03/20,AMAZONAS,24
01/04/20,AMAZONAS,25
02/04/20,AMAZONAS,29
03/04/20,AMAZONAS,31
04/04/20,AMAZONAS,51
05/04/20,AMAZONAS,106
06/04/20,AMAZONAS,113
07/04/20,AMAZONAS,105
08/04/20,AMAZONAS,169
09/04/20,AMAZONAS,95
10/04/20,AMAZONAS,80
11/04/20,AMAZONAS,72
12/04/20,AMAZONAS,155
13/04/20,AMAZONAS,69
14/04/20,AMAZONAS,210
15/04/20,AMAZONAS,70
16/04/20,AMAZONAS,163
17/04/20,AMAZONAS,89
18/04/20,AMAZONAS,90
19/04/20,AMAZONAS,147
20/04/20,AMAZONAS,116
21/04/20,AMAZONAS,110
22/04/20,AMAZONAS,206
23/04/20,AMAZONAS,411
24/04/20,AMAZONAS,306
25/04/20,AMAZONAS,441
26/04/20,AMAZONAS,195
27/04/20,AMAZONAS,100
28/04/20,AMAZONAS,410
29/04/20,AMAZONAS,464
30/04/20,AMAZONAS,453
01/05/20,AMAZONAS,468
02/05/20,AMAZONAS,339
03/05/20,AMAZONAS,620
04/05/20,AMAZONAS,559
05/05/20,AMAZONAS,868
06/05/20,AMAZONAS,1134
07/05/20,AMAZONAS,856
08/05/20,AMAZONAS,628
09/05/20,AMAZONAS,1198
10/05/20,AMAZONAS,674
11/05/20,AMAZONAS,320
12/05/20,AMAZONAS,1249
13/05/20,AMAZONAS,1592
14/05/20,AMAZONAS,1420
15/05/20,AMAZONAS,1212
16/05/20,AMAZONAS,1285
17/05/20,AMAZONAS,650
18/05/20,AMAZONAS,586
19/05/20,AMAZONAS,1219
20/05/20,AMAZONAS,1572
21/05/20,AMAZONAS,1663
22/05/20,AMAZONAS,1671
23/05/20,AMAZONAS,1764
24/05/20,AMAZONAS,1003
25/05/20,AMAZONAS,477
26/05/20,AMAZONAS,1667
27/05/20,AMAZONAS,1559
28/05/20,AMAZONAS,2638
29/05/20,AMAZONAS,2763
30/05/20,AMAZONAS,1651
31/05/20,AMAZONAS,818
01/06/20,AMAZONAS,396
02/06/20,AMAZONAS,1421
03/06/20,AMAZONAS,1152
04/06/20,AMAZONAS,2134
05/06/20,AMAZONAS,1293
06/06/20,AMAZONAS,1119
07/06/20,AMAZONAS,484
08/06/20,AMAZONAS,548
09/06/20,AMAZONAS,1417
10/06/20,AMAZONAS,1615
11/06/20,AMAZONAS,1140
12/06/20,AMAZONAS,1123
13/06/20,AMAZONAS,915
14/06/20,AMAZONAS,580
15/06/20,AMAZONAS,271
16/06/20,AMAZONAS,1241
17/06/20,AMAZONAS,1536
18/06/20,AMAZONAS,1189
19/06/20,AMAZONAS,947
20/06/20,AMAZONAS,1219
21/06/20,AMAZONAS,508
22/06/20,AMAZONAS,321
23/06/20,AMAZONAS,1342
24/06/20,AMAZONAS,1691
25/06/20,AMAZONAS,866
26/06/20,AMAZONAS,953
27/06/20,AMAZONAS,802
28/06/20,AMAZONAS,627
29/06/20,AMAZONAS,244
30/06/20,AMAZONAS,930
01/07/20,AMAZONAS,1461
02/07/20,AMAZONAS,1246
03/07/20,AMAZONAS,1007
04/07/20,AMAZONAS,965
05/07/20,AMAZONAS,512
06/07/20,AMAZONAS,413
07/07/20,AMAZONAS,2740
08/07/20,AMAZONAS,915
09/07/20,AMAZONAS,1236
10/07/20,AMAZONAS,1189
11/07/20,AMAZONAS,723
12/07/20,AMAZONAS,296
13/07/20,AMAZONAS,886
14/07/20,AMAZONAS,1388
15/07/20,AMAZONAS,1144
16/07/20,AMAZONAS,1081
17/07/20,AMAZONAS,797
18/07/20,AMAZONAS,1712
19/07/20,AMAZONAS,379
20/07/20,AMAZONAS,476
21/07/20,AMAZONAS,775
22/07/20,AMAZONAS,557
23/07/20,AMAZONAS,1498
24/07/20,AMAZONAS,1205
25/07/20,AMAZONAS,670
26/07/20,AMAZONAS,369
27/07/20,AMAZONAS,616
28/07/20,AMAZONAS,1039
29/07/20,AMAZONAS,975
30/07/20,AMAZONAS,1047
31/07/20,AMAZONAS,800
01/08/20,AMAZONAS,837
02/08/20,AMAZONAS,347
03/08/20,AMAZONAS,262
04/08/20,AMAZONAS,883
05/08/20,AMAZONAS,981
06/08/20,AMAZONAS,804
07/08/20,AMAZONAS,803
08/08/20,AMAZONAS,571
09/08/20,AMAZONAS,522
10/08/20,AMAZONAS,247
11/08/20,AMAZONAS,908
12/08/20,AMAZONAS,815
13/08/20,AMAZONAS,882
14/08/20,AMAZONAS,975
15/08/20,AMAZONAS,464
16/08/20,AMAZONAS,671
17/08/20,AMAZONAS,351
18/08/20,AMAZONAS,618
19/08/20,AMAZONAS,711
20/08/20,AMAZONAS,743
21/08/20,AMAZONAS,457
22/08/20,AMAZONAS,577
23/08/20,AMAZONAS,246
24/08/20,AMAZONAS,177
25/08/20,AMAZONAS,787
26/08/20,AMAZONAS,833
27/08/20,AMAZONAS,671
28/08/20,AMAZONAS,761
29/08/20,AMAZONAS,1015
30/08/20,AMAZONAS,201
31/08/20,AMAZONAS,236
01/09/20,AMAZONAS,623
02/09/20,AMAZONAS,874
03/09/20,AMAZONAS,727
04/09/20,AMAZONAS,667
05/09/20,AMAZONAS,539
06/09/20,AMAZONAS,85
07/09/20,AMAZONAS,94
08/09/20,AMAZONAS,318
09/09/20,AMAZONAS,736
10/09/20,AMAZONAS,701
11/09/20,AMAZONAS,763
12/09/20,AMAZONAS,516
13/09/20,AMAZONAS,193
14/09/20,AMAZONAS,275
15/09/20,AMAZONAS,743
16/09/20,AMAZONAS,701
17/09/20,AMAZONAS,650
18/09/20,AMAZONAS,858
19/09/20,AMAZONAS,1214
20/09/20,AMAZONAS,184
21/09/20,AMAZONAS,163
22/09/20,AMAZONAS,767
23/09/20,AMAZONAS,726
24/09/20,AMAZONAS,876
25/09/20,AMAZONAS,916
